photoPath,foodType,daysSafe,storageLocation,category
photos/leftover_pasta_001.jpg,leftover_pasta,3,fridge,leftovers
photos/leftover_pasta_002.jpg,leftover_pasta,2,counter,leftovers
photos/leftover_pasta_003.jpg,leftover_pasta,30,freezer,leftovers
photos/leftover_rice_001.jpg,leftover_rice,4,fridge,leftovers
photos/leftover_rice_002.jpg,leftover_rice,2,counter,leftovers
photos/leftover_rice_003.jpg,leftover_rice,30,freezer,leftovers
photos/leftover_chicken_001.jpg,leftover_chicken,2,fridge,leftovers
photos/leftover_chicken_002.jpg,leftover_chicken,1,counter,leftovers
photos/leftover_chicken_003.jpg,leftover_chicken,30,freezer,leftovers
photos/granny_smith_apple_001.jpg,apple,7,counter,produce
photos/granny_smith_apple_002.jpg,apple,14,fridge,produce
photos/granny_smith_apple_003.jpg,apple,30,pantry,produce
photos/strawberry_001.jpg,strawberry,5,fridge,produce
photos/strawberry_002.jpg,strawberry,1,counter,produce
photos/strawberry_003.jpg,strawberry,30,freezer,produce
photos/banana_001.jpg,banana,3,counter,produce
photos/banana_002.jpg,banana,7,fridge,produce
photos/banana_003.jpg,banana,30,freezer,produce
photos/spinach_001.jpg,spinach,3,fridge,produce
photos/spinach_002.jpg,spinach,1,counter,produce
photos/milk_001.jpg,milk,7,fridge,dairy
photos/milk_002.jpg,milk,0,counter,dairy
photos/milk_003.jpg,milk,30,freezer,dairy
photos/yogurt_001.jpg,yogurt,14,fridge,dairy
photos/yogurt_002.jpg,yogurt,2,counter,dairy
photos/yogurt_003.jpg,yogurt,30,freezer,dairy
photos/cheese_001.jpg,cheese,21,fridge,dairy
photos/cheese_002.jpg,cheese,2,counter,dairy
photos/cheese_003.jpg,cheese,180,freezer,dairy
photos/chicken_breast_001.jpg,chicken_breast,2,fridge,protein
photos/chicken_breast_002.jpg,chicken_breast,1,counter,protein
photos/chicken_breast_003.jpg,chicken_breast,30,freezer,protein
photos/beef_steak_001.jpg,beef_steak,3,fridge,protein
photos/beef_steak_002.jpg,beef_steak,1,counter,protein
photos/beef_steak_003.jpg,beef_steak,30,freezer,protein
photos/bread_001.jpg,bread,7,pantry,prepared
photos/bread_002.jpg,bread,2,counter,prepared
photos/bread_003.jpg,bread,60,freezer,prepared
photos/cereal_001.jpg,cereal,180,pantry,prepared
photos/granola_001.jpg,granola,180,pantry,prepared
photos/pasta_dry_001.jpg,pasta_dry,365,pantry,prepared
